# %ECSV 1.0
# ---
# datatype:
# - {name: t_mjd, datatype: float64}
# - {name: t_bjd, datatype: float64}
# - {name: t_visit, datatype: float64}
# - {name: t_orbit, datatype: float64}
# - {name: ivisit, datatype: float64}
# - {name: iorbit, datatype: float64}
# - {name: scan, datatype: float64}
# - {name: spec_opt, datatype: float64}
# - {name: var_opt, datatype: float64}
# - {name: wave, datatype: float64}
# schema: astropy-2.0
t_mjd t_bjd t_visit t_orbit ivisit iorbit scan spec_opt var_opt wave
59683.716215465 2459684.2154816925 1.2542673200368881 1.2542673200368881 0.0 0.0 0.0 2215427.592370956 194373.07129285592 0.8536363636363636
59683.716886944996 2459684.2161532445 2.22130224108696 2.22130224108696 0.0 0.0 1.0 2252640.4336960963 197619.24745434494 0.8536363636363636
59683.717558054996 2459684.2168244263 3.1878040730953217 3.1878040730953217 0.0 0.0 0.0 2229228.922299592 195542.96209187192 0.8536363636363636
59683.71822953501 2459684.217495978 4.15483832359314 4.15483832359314 0.0 0.0 1.0 2261943.4381887335 198418.92927163283 0.8536363636363636
59683.71890065 2459684.218167164 5.121346190571785 5.121346190571785 0.0 0.0 0.0 2236825.6778889378 196184.72751721743 0.8536363636363636
59683.719572135 2459684.21883872 6.08838714659214 6.08838714659214 0.0 0.0 1.0 2265804.312833899 198728.30400728804 0.8536363636363636
59683.720243245 2459684.219509901 7.054887637495995 7.054887637495995 0.0 0.0 0.0 2239553.0004188213 196410.18335396206 0.8536363636363636
59683.720914724996 2459684.220181452 8.021921217441559 8.021921217441559 0.0 0.0 1.0 2268874.114167617 198979.1320166745 0.8536363636363636
59683.721585834995 2459684.220852632 8.988420367240906 8.988420367240906 0.0 0.0 0.0 2242447.4652852444 196661.66895489846 0.8536363636363636
59683.72225731501 2459684.2215241822 9.955452606081963 9.955452606081963 0.0 0.0 1.0 2270241.6576279653 199105.40645908285 0.8536363636363636
59683.722928425006 2459684.2221953617 10.921951085329056 10.921951085329056 0.0 0.0 0.0 2243371.0259534083 196736.40579165381 0.8536363636363636
59683.72359991 2459684.2228669156 11.888988688588142 11.888988688588142 0.0 0.0 1.0 2271950.677665925 199258.00842823347 0.8536363636363636
59683.72427102 2459684.2235380947 12.855486497282982 12.855486497282982 0.0 0.0 0.0 2245522.751546112 196925.98401725356 0.8536363636363636
59683.724942504996 2459684.224209648 13.822523429989815 13.822523429989815 0.0 0.0 1.0 2273246.025791897 199354.72897491907 0.8536363636363636
59683.725613614995 2459684.2248808257 14.789019227027893 14.789019227027893 0.0 0.0 0.0 2246350.0140079395 196988.78984765869 0.8536363636363636
59683.72628509501 2459684.225552373 15.756047442555428 15.756047442555428 0.0 0.0 1.0 2274514.2386192125 199468.9842044933 0.8536363636363636
59683.726956205006 2459684.22622355 16.722541898489 16.722541898489 0.0 0.0 0.0 2247110.123348052 197051.67884264057 0.8536363636363636
59683.727627685 2459684.2268950962 17.689568772912025 17.689568772912025 0.0 0.0 1.0 2274522.178002189 199453.58508252984 0.8536363636363636
59683.728298795 2459684.227566272 18.65606188774109 18.65606188774109 0.0 0.0 0.0 2248082.0975385215 197142.1454524894 0.8536363636363636
59683.728970280004 2459684.228237822 19.623094126582146 19.623094126582146 0.0 0.0 1.0 2274661.944239662 199475.6706097198 0.8536363636363636
59683.729641390004 2459684.228908997 20.5895859003067 20.5895859003067 0.0 0.0 0.0 2248411.5575237917 197172.6537260007 0.8536363636363636
59683.730312875006 2459684.229580546 21.556616127490997 21.556616127490997 0.0 0.0 1.0 2275082.5335971382 199508.3246537207 0.8536363636363636
59683.730983985006 2459684.2302517197 22.523106560111046 22.523106560111046 0.0 0.0 0.0 2248563.521333129 197180.74311480892 0.8536363636363636
59683.731655465 2459684.2309232624 23.490128070116043 23.490128070116043 0.0 0.0 1.0 2274701.2862049257 199488.55073724722 0.8536363636363636
59683.732326575 2459684.231594435 24.45661649107933 24.45661649107933 0.0 0.0 0.0 2249025.349460331 197217.76301612446 0.8536363636363636
59683.732998055 2459684.2322659767 25.42363665997982 25.42363665997982 0.0 0.0 1.0 2274903.300119403 199506.65130901552 0.8536363636363636
59683.733669165 2459684.2329371483 26.3901237398386 26.3901237398386 0.0 0.0 0.0 2249758.5516078267 197277.27820831962 0.8536363636363636
59683.73434065 2459684.2336086943 27.357149943709373 27.357149943709373 0.0 0.0 1.0 2274772.420172966 199493.4859582566 0.8536363636363636
59683.735011765006 2459684.234279869 28.32364171743393 28.32364171743393 0.0 0.0 0.0 2249086.6019785027 197220.77999881163 0.8536363636363636
59683.735683245 2459684.2349514095 29.290659874677658 29.290659874677658 0.0 0.0 1.0 2275248.456610604 199529.27844058085 0.8536363636363636
59683.736354355 2459684.2356225783 30.257142931222916 30.257142931222916 0.0 0.0 0.0 2248763.0432009134 197211.0752723689 0.8536363636363636
59683.737025835 2459684.2362941173 31.224159076809883 31.224159076809883 0.0 0.0 1.0 2276104.9677805156 199602.8158135924 0.8536363636363636
59683.737696945 2459684.2369652856 32.19064146280289 32.19064146280289 0.0 0.0 0.0 2249762.517806205 197290.5276572362 0.8536363636363636
59683.738368424994 2459684.2376368237 33.15765626728535 33.15765626728535 0.0 0.0 1.0 2275455.3854216714 199559.42911324912 0.8536363636363636
59683.739039534994 2459684.238307991 34.12413731217384 34.12413731217384 0.0 0.0 0.0 2249654.5413540327 197287.11549418542 0.8536363636363636
59683.739711019996 2459684.2389795333 35.09115815162659 35.09115815162659 0.0 0.0 1.0 2275920.393268356 199594.66220035605 0.8536363636363636
59683.740382135 2459684.239650705 36.05764523148537 36.05764523148537 0.0 0.0 0.0 2249404.81253121 197249.36904553263 0.8536363636363636
59683.741053615 2459684.240322241 37.02465735375881 37.02465735375881 0.0 0.0 1.0 2275501.5138772316 199560.29812962 0.8536363636363636
59683.741724725 2459684.240993407 37.99113638699055 37.99113638699055 0.0 0.0 0.0 2248369.5070020347 197167.06311620443 0.8536363636363636
59683.742396204994 2459684.2416649433 38.95814850926399 38.95814850926399 0.0 0.0 1.0 2275865.072865217 199585.9054004316 0.8536363636363636
59683.779259535004 2459684.2785316817 92.04625189304352 0.0 0.0 1.0 0.0 2245123.201847887 196887.2451179451 0.8536363636363636
59683.77993102 2459684.279203239 93.01329419016838 0.9670422971248627 0.0 1.0 1.0 2273645.7684040037 199365.90205942633 0.8536363636363636
59683.780602135 2459684.279874426 93.97980339825153 1.9335515052080154 0.0 1.0 0.0 2247816.397682197 197114.66873454655 0.8536363636363636
59683.78127361499 2459684.2805459783 94.94683898985386 2.900587096810341 0.0 1.0 1.0 2274420.5007905522 199437.7563747129 0.8536363636363636
59683.78194472499 2459684.28121716 95.91334082186222 3.8670889288187027 0.0 1.0 0.0 2246762.166627296 197023.21453865452 0.8536363636363636
59683.782616205004 2459684.281888712 96.88037574291229 4.834123849868774 0.0 1.0 1.0 2275280.1458637854 199515.32736426243 0.8536363636363636
59683.783287315004 2459684.2825598945 97.84687824547291 5.80062635242939 0.0 1.0 0.0 2248165.6798911043 197146.91236731823 0.8536363636363636
59683.783958795 2459684.283231446 98.81391249597073 6.767660602927208 0.0 1.0 1.0 2275542.107181697 199534.08019036322 0.8536363636363636
59683.784629910006 2459684.2839026325 99.78042103350163 7.734169140458107 0.0 1.0 0.0 2247882.7816033694 197117.2136848794 0.8536363636363636
59683.78530139 2459684.284574184 100.74745528399944 8.701203390955925 0.0 1.0 1.0 2275562.9630082184 199530.14065814103 0.8536363636363636
59683.78597250499 2459684.28524537 101.71396315097809 9.66771125793457 0.0 1.0 0.0 2248102.681634809 197140.0456500007 0.8536363636363636
59683.786643985004 2459684.285916921 102.68099673092365 10.634744837880135 0.0 1.0 1.0 2276343.6531816986 199600.196961672 0.8536363636363636
59683.787315095 2459684.286588101 103.647495880723 11.601243987679482 0.0 1.0 0.0 2248541.417801013 197164.61428910447 0.8536363636363636
59683.787986575 2459684.287259652 104.61452879011631 12.568276897072792 0.0 1.0 1.0 2275041.5355530786 199486.07769119652 0.8536363636363636
59683.788657685 2459684.2879308313 105.5810272693634 13.534775376319885 0.0 1.0 0.0 2248546.1273139208 197166.36503951208 0.8536363636363636
59683.789329164996 2459684.2886023815 106.54805950820446 14.501807615160942 0.0 1.0 1.0 2275624.364900576 199533.31586193212 0.8536363636363636
59683.79000028 2459684.289273565 107.51456402242184 15.468312129378319 0.0 1.0 0.0 2249115.450150417 197225.80396568181 0.8536363636363636
59683.790671765004 2459684.2899451186 108.48160095512867 16.43534906208515 0.0 1.0 1.0 2276393.159799531 199604.26449541582 0.8536363636363636
59683.791342875 2459684.290616297 109.44809809327126 17.401846200227737 0.0 1.0 0.0 2248399.3969313987 197147.07444674705 0.8536363636363636
59683.792014355 2459684.2912878445 110.41512630879879 18.368874415755272 0.0 1.0 1.0 2276074.993268512 199588.66678480088 0.8536363636363636
59683.792685465 2459684.2919590217 111.38162143528461 19.335369542241096 0.0 1.0 0.0 2248277.810950705 197149.51235571946 0.8536363636363636
59683.793356944996 2459684.292630568 112.34864830970764 20.302396416664124 0.0 1.0 1.0 2275686.282213548 199549.20434443734 0.8536363636363636
59683.794028054996 2459684.2933017444 113.31514209508896 21.26889020204544 0.0 1.0 0.0 2247823.510783364 197117.144620649 0.8536363636363636
