================== ===== ====== ====== ======== ================== ================== ================== ==== ======== ==================
         filenames instr ivisit iorbit iexp_orb              t_mjd            t_visit            t_orbit scan      exp              t_bjd
================== ===== ====== ====== ======== ================== ================== ================== ==== ======== ==================
ie4h15qxq_ima.fits F126N      0      0       -1     59683.71534454                0.0                0.0   -1  1.11126 2459684.2146106735
ie4h15qyq_ima.fits  G102      0      0        0    59683.716215465 1.2542673200368881 1.2542673200368881    0 9.662994 2459684.2154816925
ie4h15qzq_ima.fits  G102      0      0        1 59683.716886944996   2.22130224108696   2.22130224108696    1 9.662994 2459684.2161532445
ie4h15r0q_ima.fits  G102      0      0        2 59683.717558054996 3.1878040730953217 3.1878040730953217    0 9.662994 2459684.2168244263
ie4h15r1q_ima.fits  G102      0      0        3  59683.71822953501   4.15483832359314   4.15483832359314    1 9.662994  2459684.217495978
ie4h15r2q_ima.fits  G102      0      0        4     59683.71890065  5.121346190571785  5.121346190571785    0 9.662994  2459684.218167164
ie4h15r3q_ima.fits  G102      0      0        5    59683.719572135   6.08838714659214   6.08838714659214    1 9.662994   2459684.21883872
ie4h15r4q_ima.fits  G102      0      0        6    59683.720243245  7.054887637495995  7.054887637495995    0 9.662994  2459684.219509901
ie4h15r5q_ima.fits  G102      0      0        7 59683.720914724996  8.021921217441559  8.021921217441559    1 9.662994  2459684.220181452
ie4h15r6q_ima.fits  G102      0      0        8 59683.721585834995  8.988420367240906  8.988420367240906    0 9.662994  2459684.220852632
ie4h15r7q_ima.fits  G102      0      0        9  59683.72225731501  9.955452606081963  9.955452606081963    1 9.662994 2459684.2215241822
ie4h15r8q_ima.fits  G102      0      0       10 59683.722928425006 10.921951085329056 10.921951085329056    0 9.662994 2459684.2221953617
ie4h15r9q_ima.fits  G102      0      0       11     59683.72359991 11.888988688588142 11.888988688588142    1 9.662994 2459684.2228669156
ie4h15raq_ima.fits  G102      0      0       12     59683.72427102 12.855486497282982 12.855486497282982    0 9.662994 2459684.2235380947
ie4h15rbq_ima.fits  G102      0      0       13 59683.724942504996 13.822523429989815 13.822523429989815    1 9.662994  2459684.224209648
ie4h15rcq_ima.fits  G102      0      0       14 59683.725613614995 14.789019227027893 14.789019227027893    0 9.662994 2459684.2248808257
ie4h15rdq_ima.fits  G102      0      0       15  59683.72628509501 15.756047442555428 15.756047442555428    1 9.662994  2459684.225552373
ie4h15req_ima.fits  G102      0      0       16 59683.726956205006    16.722541898489    16.722541898489    0 9.662994   2459684.22622355
ie4h15rfq_ima.fits  G102      0      0       17    59683.727627685 17.689568772912025 17.689568772912025    1 9.662994 2459684.2268950962
ie4h15rgq_ima.fits  G102      0      0       18    59683.728298795  18.65606188774109  18.65606188774109    0 9.662994  2459684.227566272
ie4h15rhq_ima.fits  G102      0      0       19 59683.728970280004 19.623094126582146 19.623094126582146    1 9.662994  2459684.228237822
ie4h15riq_ima.fits  G102      0      0       20 59683.729641390004   20.5895859003067   20.5895859003067    0 9.662994  2459684.228908997
ie4h15rjq_ima.fits  G102      0      0       21 59683.730312875006 21.556616127490997 21.556616127490997    1 9.662994  2459684.229580546
ie4h15rkq_ima.fits  G102      0      0       22 59683.730983985006 22.523106560111046 22.523106560111046    0 9.662994 2459684.2302517197
ie4h15rlq_ima.fits  G102      0      0       23    59683.731655465 23.490128070116043 23.490128070116043    1 9.662994 2459684.2309232624
ie4h15rmq_ima.fits  G102      0      0       24    59683.732326575  24.45661649107933  24.45661649107933    0 9.662994  2459684.231594435
ie4h15rnq_ima.fits  G102      0      0       25    59683.732998055  25.42363665997982  25.42363665997982    1 9.662994 2459684.2322659767
ie4h15roq_ima.fits  G102      0      0       26    59683.733669165   26.3901237398386   26.3901237398386    0 9.662994 2459684.2329371483
ie4h15rpq_ima.fits  G102      0      0       27     59683.73434065 27.357149943709373 27.357149943709373    1 9.662994 2459684.2336086943
ie4h15rqq_ima.fits  G102      0      0       28 59683.735011765006  28.32364171743393  28.32364171743393    0 9.662994  2459684.234279869
ie4h15rrq_ima.fits  G102      0      0       29    59683.735683245 29.290659874677658 29.290659874677658    1 9.662994 2459684.2349514095
ie4h15rsq_ima.fits  G102      0      0       30    59683.736354355 30.257142931222916 30.257142931222916    0 9.662994 2459684.2356225783
ie4h15rtq_ima.fits  G102      0      0       31    59683.737025835 31.224159076809883 31.224159076809883    1 9.662994 2459684.2362941173
ie4h15ruq_ima.fits  G102      0      0       32    59683.737696945  32.19064146280289  32.19064146280289    0 9.662994 2459684.2369652856
ie4h15rvq_ima.fits  G102      0      0       33 59683.738368424994  33.15765626728535  33.15765626728535    1 9.662994 2459684.2376368237
ie4h15rwq_ima.fits  G102      0      0       34 59683.739039534994  34.12413731217384  34.12413731217384    0 9.662994  2459684.238307991
ie4h15rxq_ima.fits  G102      0      0       35 59683.739711019996  35.09115815162659  35.09115815162659    1 9.662994 2459684.2389795333
ie4h15ryq_ima.fits  G102      0      0       36    59683.740382135  36.05764523148537  36.05764523148537    0 9.662994  2459684.239650705
ie4h15rzq_ima.fits  G102      0      0       37    59683.741053615  37.02465735375881  37.02465735375881    1 9.662994  2459684.240322241
ie4h15s0q_ima.fits  G102      0      0       38    59683.741724725  37.99113638699055  37.99113638699055    0 9.662994  2459684.240993407
ie4h15s1q_ima.fits  G102      0      0       39 59683.742396204994  38.95814850926399  38.95814850926399    1 9.662994 2459684.2416649433
ie4h16s3q_ima.fits  G102      0      1        0 59683.779259535004  92.04625189304352                0.0    0 9.662994 2459684.2785316817
ie4h16s4q_ima.fits  G102      0      1        1     59683.77993102  93.01329419016838 0.9670422971248627    1 9.662994  2459684.279203239
ie4h16s5q_ima.fits  G102      0      1        2    59683.780602135  93.97980339825153 1.9335515052080154    0 9.662994  2459684.279874426
ie4h16s6q_ima.fits  G102      0      1        3  59683.78127361499  94.94683898985386  2.900587096810341    1 9.662994 2459684.2805459783
ie4h16s7q_ima.fits  G102      0      1        4  59683.78194472499  95.91334082186222 3.8670889288187027    0 9.662994   2459684.28121716
ie4h16s8q_ima.fits  G102      0      1        5 59683.782616205004  96.88037574291229  4.834123849868774    1 9.662994  2459684.281888712
ie4h16s9q_ima.fits  G102      0      1        6 59683.783287315004  97.84687824547291   5.80062635242939    0 9.662994 2459684.2825598945
ie4h16saq_ima.fits  G102      0      1        7    59683.783958795  98.81391249597073  6.767660602927208    1 9.662994  2459684.283231446
ie4h16sbq_ima.fits  G102      0      1        8 59683.784629910006  99.78042103350163  7.734169140458107    0 9.662994 2459684.2839026325
ie4h16scq_ima.fits  G102      0      1        9     59683.78530139 100.74745528399944  8.701203390955925    1 9.662994  2459684.284574184
