================== ==================
        time_model         flux_model
================== ==================
 2459683.489000939                1.0
 2459683.491012168                1.0
2459683.4930233974                1.0
 2459683.495034627                1.0
2459683.4970458564                1.0
2459683.4990570857                1.0
 2459683.501068315                1.0
2459683.5030795448                1.0
 2459683.505090774                1.0
2459683.5071020033                1.0
2459683.5091132326                1.0
2459683.5111244624                1.0
2459683.5131356916                1.0
 2459683.515146921                1.0
  2459683.51715815                1.0
  2459683.51916938                1.0
2459683.5211806092                1.0
2459683.5231918385                1.0
 2459683.525203068                1.0
2459683.5272142976                1.0
 2459683.529225527                1.0
 2459683.531236756                1.0
2459683.5332479854                1.0
 2459683.535259215                1.0
2459683.5372704444                1.0
2459683.5392816737                1.0
 2459683.541292903                1.0
2459683.5433041328                1.0
 2459683.545315362                1.0
2459683.5473265913                1.0
2459683.5493378206                1.0
2459683.5513490504                1.0
2459683.5533602796                1.0
 2459683.555371509                1.0
 2459683.557382738                1.0
2459683.5593939675                1.0
2459683.5614051973                1.0
2459683.5634164265                1.0
 2459683.565427656                1.0
 2459683.567438885                1.0
 2459683.569450115                1.0
 2459683.571461344                1.0
2459683.5734725734                1.0
2459683.5754838027                1.0
2459683.5774950325                1.0
2459683.5795062617                1.0
 2459683.581517491                1.0
2459683.5835287203                1.0
  2459683.58553995                1.0
2459683.5875511793                1.0
2459683.5895624086                1.0
 2459683.591573638                1.0
2459683.5935848677                1.0
 2459683.595596097                1.0
 2459683.597607326                1.0
2459683.5996185555                1.0
2459683.6016297853                1.0
2459683.6036410145                1.0
 2459683.605652244                1.0
 2459683.607663473                1.0
 2459683.609674703                1.0
 2459683.611685932                1.0
2459683.6136971614                1.0
2459683.6157083907                1.0
2459683.6177196205                1.0
2459683.6197308498                1.0
 2459683.621742079                1.0
2459683.6237533083                1.0
2459683.6257645376                1.0
2459683.6277757674                1.0
2459683.6297869966                1.0
 2459683.631798226                1.0
 2459683.633809455                1.0
 2459683.635820685                1.0
2459683.6378319142                1.0
2459683.6398431435                1.0
 2459683.641854373                1.0
2459683.6438656026                1.0
 2459683.645876832                1.0
 2459683.647888061                1.0
2459683.6498992904                1.0
  2459683.65191052                1.0
2459683.6539217494                1.0
2459683.6559329787                1.0
 2459683.657944208                1.0
2459683.6599554378                1.0
 2459683.661966667                1.0
2459683.6639778963                1.0
2459683.6659891256                1.0
2459683.6680003554                1.0
2459683.6700115846                1.0
 2459683.672022814                1.0
 2459683.674034043                1.0
 2459683.676045273                1.0
2459683.6780565022                1.0
2459683.6800677315                1.0
 2459683.682078961                1.0
  2459683.68409019                1.0
  2459683.68610142                1.0
 2459683.688112649                1.0
