===== =================== ===================
binsz                 rms              stderr
===== =================== ===================
    1  0.6153298000941306 0.48642641939931686
    2  0.6058174056477639 0.34459411435348053
    3  0.6145261470031166  0.2818766474046346
    4  0.5924428062217825 0.24457234219854368
    5  0.5907544575283585 0.21917662053027812
    6  0.5866083670169593 0.20045854639903585
    7  0.5756413893621993  0.1859138602685325
    8  0.5725226793797334 0.17424397837706945
    9  0.5735226880050016 0.16461168369934462
   10  0.5563237765920052  0.1564643828453674
   11  0.5443490022151315 0.14954284669597198
   12   0.543456465522618 0.14346017403958242
   13  0.6000271903545576 0.13798861534934764
   14  0.5453521287210127 0.13332046306377698
   15  0.5365174361035366 0.12899903030275697
   16  0.5263361655700843 0.12511943119613667
   17   0.526158220544185 0.12162145212475783
   18  0.5435977711819613 0.11845834001722622
   19  0.5280844134165522 0.11559414167766736
   20  0.5278386402401324 0.11300205427720977
   21   0.530200785166259 0.11027871301246314
   22  0.5099323940058311 0.10811929952944911
   23  0.5143761305801086  0.1061824417129572
   24   0.495650030511768 0.10394677150407472
   25   0.501232876833892 0.10235970469539658
   26  0.5017571478767957 0.10037194839373505
   27 0.47766134306680935 0.09849567176676303
   28  0.4925615348855731 0.09732345742807753
===== =================== ===================
