================== =================
             t_vis              flux
================== =================
               0.0 614378332.7043457
0.9665092080831528   605205587.87854
1.9335447996854782 614614940.2648315
  2.90004663169384   605315649.55896
3.8670815527439117 614725072.4298096
 4.833584055304527  605519802.130188
 5.800618305802345 614876671.2022705
 6.767126843333244 605549529.5307007
 7.734161093831062 614824435.1252441
 8.700668960809708 605535334.3851318
 9.667702540755272 614877787.4974365
10.634201690554619  605616163.227417
 11.60123459994793 614888539.0300903
12.567733079195023 605635260.3209839
 13.53476531803608 614953956.5222168
14.501269832253456 605671859.7966309
15.468306764960289 614942005.8618774
16.434803903102875 605670920.6486206
 17.40183211863041 615003979.7579346
18.368327245116234 605730952.1621704
 19.33535411953926 614935423.5408936
20.301847904920578 605685793.5839233
21.268873438239098 614951263.3122559
  22.2353732585907 605716310.1013184
  23.2024048268795 614901549.7307129
 24.16889525949955 605681621.4158325
  25.1359174400568 614893390.1280518
26.102406531572342 605610579.4208984
27.069427371025085 614896905.4163818
 28.03591512143612 605641807.6410522
29.002941325306892 614870369.8016357
29.969427064061165 605561115.8178711
30.936452597379684 614831172.8675537
 31.90293699502945 605581347.7303467
 32.86995314061642 614760435.2375488
33.836436197161674 605599710.2866821
34.803451001644135 614791987.5739746
35.769932717084885 605592020.0037231
 36.73695355653763 614819663.0379028
 95.34234948456287 613788565.0309448
 96.30885198712349 604635374.9053345
 97.27588690817356 613958957.7368774
 98.24238941073418  604746795.300293
 99.20943170785904 613937631.9976807
 100.1759335398674 604800029.9551392
101.14297583699226 614009019.7397461
102.10947632789612 604835958.8418579
103.07651124894619 614269431.8517456
104.04301173985004  605378457.937439
105.01004531979561 614380837.3739624
105.97654514014721 605127539.6317749
106.94358475506306 614324386.7684326
107.91008323431015 605130178.3930054
108.87712150812149  614295358.274231
109.84361998736858 604971793.6748047
110.81064954400063 614263189.3405151
111.77714668214321 605048204.8563232
  112.744175568223 614313936.5039673
113.71067002415657 605028832.5028687
114.67770427465439 614198149.3713989
115.64420610666275 605021135.5250244
116.61123163998127  614220828.026062
117.57772341370583 604949690.2979736
118.54474760591984 614168317.3414307
119.51123803853989 604909745.8878784
120.47826088964939 614150920.9447632
121.44474998116493 604894401.8283691
122.41177752614021 614055133.0195312
