# %ECSV 1.0
# ---
# datatype:
# - {name: nspectra, datatype: float64}
# - {name: t_mjd, datatype: float64}
# - {name: numoutliers, datatype: float64}
# - {name: skymedian, datatype: float64}
# - {name: '# nans', datatype: float64}
# schema: astropy-2.0
nspectra t_mjd numoutliers skymedian "# nans"
0.0 59455.203888655 43.0 27.36452865600586 0.0
1.0 59455.20459458 25.0 24.796499252319336 0.0
2.0 59455.205300689995 43.0 29.819955825805664 0.0
3.0 59455.20600662 30.0 25.165210723876953 0.0
4.0 59455.20671273 41.0 30.037569046020508 0.0
5.0 59455.207418655 24.0 22.652008056640625 0.0
6.0 59455.208124765 43.0 27.377944946289062 0.0
7.0 59455.20883069 26.0 24.08514404296875 0.0
8.0 59455.209536805 43.0 29.37155532836914 0.0
9.0 59455.21024273 25.0 25.09395980834961 0.0
10.0 59455.21094884 40.0 28.907970428466797 0.0
11.0 59455.211654765 30.0 25.47711944580078 0.0
12.0 59455.212360875 44.0 27.644575119018555 0.0
13.0 59455.213066805 28.0 22.52444076538086 0.0
14.0 59455.213772915 38.0 28.666444778442383 0.0
15.0 59455.214478840004 25.0 23.68914794921875 0.0
16.0 59455.21518495 41.0 28.43280792236328 0.0
17.0 59455.215890875 25.0 24.383255004882812 0.0
18.0 59455.216596989994 42.0 28.86417007446289 0.0
19.0 59455.217302915 33.0 26.132980346679688 0.0
20.0 59455.218009025004 41.0 29.764270782470703 0.0
21.0 59455.21871495 29.0 23.489049911499023 0.0
22.0 59455.21942106 42.0 27.85824203491211 0.0
23.0 59455.220126989996 26.0 24.85796356201172 0.0
24.0 59455.2208331 38.0 28.926132202148438 0.0
25.0 59455.221539025 25.0 23.777801513671875 0.0
26.0 59455.22224514 40.0 29.29058074951172 0.0
27.0 59455.22295106 28.0 25.353431701660156 0.0
28.0 59455.223657174996 41.0 27.712020874023438 0.0
29.0 59455.2243631 26.0 24.427278518676758 0.0
30.0 59455.225069210006 41.0 24.149494171142578 0.0
31.0 59455.22577514 27.0 25.307132720947266 0.0
32.0 59455.226481245 40.0 32.89740753173828 0.0
33.0 59455.227187175 29.0 25.68948745727539 0.0
34.0 59455.227893285 42.0 27.496797561645508 0.0
35.0 59455.22859921 28.0 25.302913665771484 0.0
36.0 59455.229305325 37.0 30.067535400390625 0.0
37.0 59455.230011245 25.0 24.594087600708008 0.0
38.0 59455.23071736 43.0 26.858795166015625 0.0
39.0 59455.231423285004 29.0 21.554271697998047 0.0
40.0 59455.268981245 38.0 30.94770622253418 0.0
41.0 59455.269687175 29.0 25.53220558166504 0.0
42.0 59455.270393285 38.0 31.70530891418457 0.0
43.0 59455.271099210004 26.0 26.883377075195312 0.0
44.0 59455.271805325 39.0 30.237621307373047 0.0
45.0 59455.272511245 25.0 26.037269592285156 0.0
46.0 59455.273217359994 37.0 27.380374908447266 0.0
47.0 59455.273923285 25.0 23.42700958251953 0.0
48.0 59455.274629395004 40.0 33.07311248779297 0.0
49.0 59455.275335325 26.0 27.767995834350586 0.0
50.0 59455.27604143 38.0 29.021909713745117 0.0
51.0 59455.276747359996 25.0 21.348770141601562 0.0
52.0 59455.27745347 41.0 30.0871524810791 0.0
53.0 59455.278159395 30.0 24.995677947998047 0.0
54.0 59455.27886551 39.0 29.251636505126953 0.0
55.0 59455.27957143 26.0 25.322673797607422 0.0
56.0 59455.280277544996 42.0 28.061046600341797 0.0
57.0 59455.28098347 24.0 23.989185333251953 0.0
58.0 59455.281689580006 39.0 30.414169311523438 0.0
59.0 59455.28239551 23.0 27.6621036529541 0.0
60.0 59455.283101615 39.0 30.592735290527344 0.0
61.0 59455.283807545 27.0 24.456790924072266 0.0
62.0 59455.284513655 40.0 28.938983917236328 0.0
63.0 59455.28521958 26.0 26.36206817626953 0.0
64.0 59455.285925695 38.0 29.18265724182129 0.0
65.0 59455.286631615 29.0 27.68536376953125 0.0
66.0 59455.28733773 41.0 29.43423843383789 0.0
67.0 59455.288043655004 25.0 23.042682647705078 0.0
68.0 59455.288749765 41.0 30.101926803588867 0.0
69.0 59455.289455695 24.0 24.23885726928711 0.0
70.0 59455.2901618 40.0 28.536205291748047 0.0
71.0 59455.29086773 23.0 25.339675903320312 0.0
72.0 59455.29157384 40.0 29.45244789123535 0.0
73.0 59455.292279764995 26.0 23.738605499267578 0.0
74.0 59455.292985880005 40.0 28.095413208007812 0.0
75.0 59455.293691800005 27.0 21.76333236694336 0.0
76.0 59455.294397915 42.0 28.047805786132812 0.0
77.0 59455.29510384 20.0 20.07533073425293 0.0
78.0 59455.295809949996 40.0 29.783926010131836 0.0
79.0 59455.29651588 27.0 26.145254135131836 0.0
80.0 59455.297221985 39.0 27.91083335876465 0.0
81.0 59455.297927915 25.0 24.782716751098633 0.0
82.0 59455.335150135 47.0 29.459810256958008 0.0
83.0 59455.33585625 24.0 25.15184783935547 0.0
84.0 59455.33656217 40.0 25.556015014648438 0.0
85.0 59455.337268285 31.0 26.291973114013672 0.0
86.0 59455.33797421 43.0 28.173818588256836 0.0
87.0 59455.33868032 26.0 21.4216251373291 0.0
88.0 59455.339386249994 40.0 30.055870056152344 0.0
89.0 59455.340092355 25.0 26.95194435119629 0.0
90.0 59455.340798285004 41.0 30.484580993652344 0.0
91.0 59455.341504395 27.0 21.955791473388672 0.0
92.0 59455.34221032 39.0 28.85125732421875 0.0
93.0 59455.342916435 27.0 24.63945198059082 0.0
94.0 59455.343622355 41.0 31.51065444946289 0.0
95.0 59455.344328470004 27.0 24.16101837158203 0.0
96.0 59455.345034394995 38.0 29.625221252441406 0.0
