# %ECSV 1.0
# ---
# datatype:
# - {name: t_mjd, datatype: float64}
# - {name: t_bjd, datatype: float64}
# - {name: t_visit, datatype: float64}
# - {name: t_orbit, datatype: float64}
# - {name: ivisit, datatype: float64}
# - {name: iorbit, datatype: float64}
# - {name: scan, datatype: float64}
# - {name: spec_opt, datatype: float64}
# - {name: var_opt, datatype: float64}
# - {name: spec_box, datatype: float64}
# - {name: var_box, datatype: float64}
# schema: astropy-2.0
t_mjd t_bjd t_visit t_orbit ivisit iorbit scan spec_opt var_opt spec_box var_box
59455.203888655 2459455.7091161143 1.4178257435560226 1.4178257435560226 0.0 0.0 0.0 656265934.777832 672243530.9960938 655811453.6044922 674835834.2421875
59455.20459458 2459455.7098220186 2.4343279749155045 2.4343279749155045 0.0 0.0 1.0 661321045.6572266 677292572.7734375 660828856.2231445 679898128.15625
59455.205300689995 2459455.7105281074 3.4510957449674606 3.4510957449674606 0.0 0.0 0.0 660762510.9174805 676753074.3710938 660301715.543457 679336721.8242188
59455.20600662 2459455.7112340154 4.467603340744972 4.467603340744972 0.0 0.0 1.0 663715241.7285156 679732594.28125 663200225.9370117 682303846.3945312
59455.20671273 2459455.7119401037 5.484370440244675 5.484370440244675 0.0 0.0 0.0 662523495.3964844 678482120.5625 662035487.4970703 681022521.3320312
59455.207418655 2459455.712646005 6.500868648290634 6.500868648290634 0.0 0.0 1.0 664836474.0761719 680851400.6523438 664332972.1381836 683433373.4492188
59455.208124765 2459455.713352092 7.517633736133575 7.517633736133575 0.0 0.0 0.0 663464694.7797852 679471292.0625 662975452.7788086 682009238.6523438
59455.20883069 2459455.7140579927 8.534130603075027 8.534130603075027 0.0 0.0 1.0 665417910.1875 681458466.0585938 664905826.5292969 684032182.1796875
59455.209536805 2459455.7147640823 9.550899714231491 9.550899714231491 0.0 0.0 0.0 663914754.640625 679860795.4960938 663431776.8549805 682400626.2578125
59455.21024273 2459455.715469982 10.567395240068436 10.567395240068436 0.0 0.0 1.0 665754420.8916016 681779449.6640625 665230181.3183594 684364799.3671875
59455.21094884 2459455.716176065 11.584154963493347 11.584154963493347 0.0 0.0 0.0 664322923.8779297 680302733.4921875 663841042.7524414 682852280.1445312
59455.211654765 2459455.716881963 12.600647807121277 12.600647807121277 0.0 0.0 1.0 665994446.8344727 682076794.2382812 665460797.824707 684637989.7851562
59455.212360875 2459455.7175880447 13.617405518889427 13.617405518889427 0.0 0.0 0.0 664458505.5742188 680447856.8671875 663965997.1308594 683006585.265625
59455.213066805 2459455.7182939453 14.63390238583088 14.63390238583088 0.0 0.0 1.0 666189269.934082 682206820.8046875 665657733.6049805 684756835.3476562
59455.213772915 2459455.7190000247 15.650656744837761 15.650656744837761 0.0 0.0 0.0 664649614.5209961 680624190.5273438 664178006.0732422 683197918.4414062
59455.214478840004 2459455.719705919 16.66714422404766 16.66714422404766 0.0 0.0 1.0 666229211.9926758 682238458.6796875 665718236.8735352 684813376.3125
59455.21518495 2459455.7204119964 17.683895900845528 17.683895900845528 0.0 0.0 0.0 664696249.6738281 680655208.4960938 664217179.8007812 683218034.9414062
