==== ==================
 bin        wavelengths
==== ==================
 0.0            1.14625
 1.0            1.16875
 2.0            1.19125
 3.0            1.21375
 4.0            1.23625
 5.0            1.25875
 6.0            1.28125
 7.0            1.30375
 8.0            1.32625
 9.0            1.34875
10.0 1.3712499999999999
11.0            1.39375
12.0            1.41625
13.0            1.43875
14.0            1.46125
15.0            1.48375
16.0            1.50625
17.0            1.52875
18.0            1.55125
19.0            1.57375
20.0            1.59625
21.0            1.61875
==== ==================
