central_wavelength,blue_edge,red_edge,rp_rstar,rp_rstar_err
1.15882,1.14064,1.17700,0.04920,0.000518
1.18555,1.17700,1.19410,0.04888,0.000732
1.20265,1.19410,1.21120,0.04858,0.000717
1.22010,1.21120,1.22900,0.04917,0.000706
1.23750,1.22900,1.24600,0.04874,0.000650
1.25545,1.24600,1.26490,0.04852,0.000631
1.29543,1.26490,1.32596,0.04844,0.000384
1.33740,1.32596,1.34885,0.04816,0.000579
1.36983,1.34885,1.39082,0.04865,0.000434
1.40704,1.39082,1.42325,0.04953,0.000517
1.43020,1.42325,1.43715,0.04943,0.000710
1.46032,1.43715,1.48348,0.04963,0.000404
1.50896,1.48348,1.53444,0.04981,0.000400
1.54371,1.53444,1.55297,0.04892,0.000653
1.56073,1.55297,1.56850,0.04904,0.000665
1.58050,1.56850,1.59250,0.04764,0.000618
1.60450,1.59250,1.61650,0.04904,0.000553
1.62850,1.61650,1.64050,0.04951,0.000556
