wavelength,blue_edge,red_edge,rp_rstar,rp_rstar_err
0.80317,0.79921,0.80712,0.05173,0.00141
0.81107,0.80712,0.81502,0.04970,0.00137
0.81898,0.81502,0.82293,0.04911,0.00137
0.8506,0.82293,0.87826,0.05091,0.00050
0.88485,0.87826,0.89144,0.05173,0.00074
0.89473,0.89144,0.89803,0.05051,0.00098
0.90791,0.89803,0.91779,0.05032,0.00066
0.92168,0.91779,0.92558,0.05019,0.00080
0.93307,0.92558,0.94057,0.05004,0.00061
0.94436,0.94057,0.94816,0.05012,0.00079
0.95955,0.94816,0.97094,0.05035,0.00049
0.97474,0.97094,0.97853,0.04961,0.00084
0.98233,0.97853,0.98613,0.04953,0.00076
0.99941,0.98613,1.0127,0.05029,0.00046
1.01713,1.0127,1.02156,0.04896,0.00077
1.03042,1.02156,1.03928,0.04914,0.00050
1.04307,1.03928,1.04687,0.04894,0.00072
1.05067,1.04687,1.05446,0.04861,0.00074
1.05826,1.05446,1.06206,0.04856,0.00082
1.06543,1.06206,1.06881,0.04907,0.00077
1.08568,1.06881,1.10255,0.04920,0.00040
1.10593,1.10255,1.1093,0.04935,0.00074
1.11268,1.1093,1.11605,0.05002,0.00076
1.12323,1.11605,1.1304,0.04933,0.00061
