wavelength,blue_edge,red_edge,rp_rstar,rp_rstar_err
1.15882,1.14064,1.17700,0.04879,0.00051
1.18555,1.17700,1.19410,0.04850,0.00084
1.20265,1.19410,1.21120,0.04780,0.00068
1.22010,1.21120,1.22900,0.04864,0.00071
1.23750,1.22900,1.24600,0.04864,0.00067
1.25545,1.24600,1.26490,0.04814,0.00067
1.29543,1.26490,1.32596,0.04854,0.00043
1.33740,1.32596,1.34885,0.04761,0.00059
1.36983,1.34885,1.39082,0.04862,0.00043
1.40704,1.39082,1.42325,0.04891,0.00053
1.43020,1.42325,1.43715,0.04948,0.00071
1.46032,1.43715,1.48348,0.04979,0.00040
1.50896,1.48348,1.53444,0.04984,0.00040
1.54371,1.53444,1.55297,0.04885,0.00065
1.56073,1.55297,1.56850,0.04931,0.00067
1.58050,1.56850,1.59250,0.04760,0.00064
1.60450,1.59250,1.61650,0.04937,0.00060
1.62850,1.61650,1.64050,0.05029,0.00056
