central_wavelength,blue_edge,red_edge,rp_rstar,rp_rstar_err
0.80317,0.79921,0.80712,0.05224,0.001189
0.81107,0.80712,0.81502,0.05089,0.001154
0.81898,0.81502,0.82293,0.04996,0.001144
0.85060,0.82293,0.87826,0.05156,0.000446
0.88485,0.87826,0.89144,0.05213,0.000637
0.89473,0.89144,0.89803,0.04971,0.000828
0.90791,0.89803,0.91779,0.05081,0.000541
0.92168,0.91779,0.92558,0.05061,0.000707
0.93307,0.92558,0.94057,0.05014,0.000519
0.94436,0.94057,0.94816,0.05055,0.000648
0.95955,0.94816,0.97094,0.05020,0.000482
0.97474,0.97094,0.97853,0.04929,0.000760
0.98233,0.97853,0.98613,0.04938,0.000651
0.99941,0.98613,1.01270,0.05042,0.000454
1.01713,1.01270,1.02156,0.04812,0.000696
1.03042,1.02156,1.03928,0.04916,0.000486
1.04307,1.03928,1.04687,0.04919,0.000645
1.05067,1.04687,1.05446,0.04825,0.000660
1.05826,1.05446,1.06206,0.04834,0.000690
1.06543,1.06206,1.06881,0.04954,0.000657
1.08568,1.06881,1.10255,0.05018,0.000378
1.10593,1.10255,1.10930,0.05011,0.000632
1.11268,1.10930,1.11605,0.05047,0.000638
1.12323,1.11605,1.13040,0.04951,0.000480
